PARROQUIA;CODIGO_PARROQUIA;NOMBRE;CODIGO_INSTITUCION;TIPO_EDUCACION;SOSTENIMIENTO;ZONA;MODALIDAD;DOCENTES;TOTAL_ESTUDIANTES
NABON;010450;SAN JOSE;01B00048;Educación Regular;Fiscal;UrbanaINEC;Presencial;7;117
NABON;010450;CECIB CESAR A MOROCHO;01B00049;Educación Regular;Fiscal;UrbanaINEC;Presencial;9;162
NABON;010450;JOSE ALBERTO MOROCHO;01B00050;Educación Regular;Fiscal;UrbanaINEC;Presencial;3;48
NABON;010450;SAN JOSE;01B00051;Educación Regular;Fiscal;UrbanaINEC;Presencial;7;129
NABON;010450;ESCUELA FISCAL MIXTA BALTAZAR AGUIRRE;01B00052;Educación Regular;Fiscal;UrbanaINEC;Presencial;8;175
NABON;010450;FERNANDO DAQUILEMA;01B00053;Educación Regular;Fiscal;UrbanaINEC;Presencial;3;41
NABON;010450;COLEGIO TECNICO HUMANISTICO INTERCULTURAL BILINGUE SHIÑA;01B00054;Educación Regular;Fiscal;UrbanaINEC;Presencial;13;106
EL PROGRESO;010452;LA MERCED;01B00055;Educación Regular;Fiscal;RuralINEC;Presencial;1;17
LUDO;010954;JAIME ROLDOS AGUILERA;01B00056;Educación Regular;Fiscal;RuralINEC;Presencial;3;60
SUSUDEL;011051;NUEVO SUSUDEL;01B00057;Educación Regular;Fiscal;RuralINEC;Presencial;9;114
SUSUDEL;011051;SIN NOMBRE;01B00058;Educación Regular;Fiscal;RuralINEC;Presencial;1;8
EL CARMEN DEL PIJILI;011551;SIN NOMBRE COMUNIDAD LA LIBERTAD;01B00059;Educación Regular;Fiscal;RuralINEC;Presencial;1;9
QUINGEO;010161;JOSE PUZHI;01B00060;Educación Regular;Fiscal;RuralINEC;Presencial;1;25
TARQUI;010168;COLEGIO INTERCULTURAL BILINGUE DE NARANCAY  EXTENSIÓN 2;01B00063;Educación Regular;Fiscal;RuralINEC;Semipresencial;4;29
CUENCA;010150;FROILÁN ABAD  AMBROSI;01B00064;Educación Regular;Particular;UrbanaINEC;Presencial;3;7
MOLLETURO;010157;MARIO LEON;01B00065;Educación Regular;Fiscal;RuralINEC;Presencial;1;20
QUINGEO;010161;SAN VICENTE;01B00066;Educación Regular;Fiscal;RuralINEC;Presencial;2;41
NABON;010450;QUILLUSISAPAC RICCHARIMUI;01B00067;Educación Regular;Fiscal;UrbanaINEC;Presencial;4;80
LAS NIEVES (CHAYA);010453;SIN NOMBRE;01B00068;Educación Regular;Fiscal;RuralINEC;Presencial;1;7
EL CARMEN DEL PIJILI;011551;20 DE AGOSTO;01B00069;Educación Regular;Fiscal;RuralINEC;Presencial;1;4
BELLAVISTA;010101;CRISTO REY;01H00001;Educación Regular;Particular;UrbanaINEC;Presencial;11;178
BELLAVISTA;010101;HOME SCHOOL;01H00002;Educación Regular;Particular;UrbanaINEC;Presencial;19;218
BELLAVISTA;010101;RAFAEL AGUILAR PESANTEZ;01H00003;Educación Regular;Fiscal;UrbanaINEC;Presencial;12;274
BELLAVISTA;010101;ELENA MOSCOSO TAMARIZ;01H00004;Educación Regular;Particular;UrbanaINEC;Presencial;44;384
BELLAVISTA;010101;FRANCISCA DAVILA   DE MUÑOZ;01H00006;Educación Regular;Fiscal;UrbanaINEC;Presencial;6;72
BELLAVISTA;010101;LUNA DE CRISTAL;01H00007;Educación Regular;Particular;UrbanaINEC;Presencial;2;17
BELLAVISTA;010101;BENJAMIN RAMIREZ ARTEAGA;01H00010;Educación Regular;Fiscal;UrbanaINEC;Presencial;16;268
BELLAVISTA;010101;NUEVO MILENIO;01H00011;Educación Regular;Particular;UrbanaINEC;Presencial;10;128
BELLAVISTA;010101;ARCO IRIS;01H00014;Educación Regular;Particular;UrbanaINEC;Presencial;12;64
BELLAVISTA;010101;PEQUEÑOS TRAVIESOS;01H00024;Educación Regular;Particular;UrbanaINEC;Presencial;2;18
BELLAVISTA;010101;5 DE NOVIEMBRE;01H00025;Popular Permanente;Particular;UrbanaINEC;Presencial;10;283
BELLAVISTA;010101;MARIA AUXILIADORA;01H00028;Popular Permanente;Fiscomisional;UrbanaINEC;Presencial;13;286
BELLAVISTA;010101;LOS POLLUELITOS;01H00029;Educación Regular;Fiscal;UrbanaINEC;Presencial;7;29
BELLAVISTA;010101;FRANCISCO TAMARIZ VALDIVIESO;01H00030;Educación Regular;Fiscal;UrbanaINEC;Presencial;27;465
BELLAVISTA;010101;EUROPA;01H00031;Educación Regular;Particular;UrbanaINEC;Presencial;9;61
BELLAVISTA;010101;MIGUEL CORDERO CRESPO;01H00032;Educación Regular;Particular;UrbanaINEC;Presencial;59;701
TOTORACOCHA;010113;UNIDAD EDUCATIVA FISCAL MIXTA CENTRAL LA INMACULADA;01H00035;Educación Regular;Fiscal;UrbanaINEC;Presencial;64;930
BELLAVISTA;010101;JULIO MARIA MATOVELLE;01H00037;Educación Regular;Fiscal;UrbanaINEC;Presencial;18;472
BELLAVISTA;010101;UNIVERSO DE COLORES;01H00039;Educación Regular;Particular;UrbanaINEC;Presencial;3;8
BELLAVISTA;010101;UNIDAD EDUCATIVA PARTICULAR EL AMERICANO;01H00040;Educación Regular;Particular;UrbanaINEC;Presencial;17;186
BELLAVISTA;010101;EDWIN SACOTO LARRIVA;01H00042;Educación Regular;Fiscal;UrbanaINEC;Presencial;3;57
BELLAVISTA;010101;FEDERICO PROAÑO;01H00043;Educación Regular;Fiscal;UrbanaINEC;Presencial;21;633
BELLAVISTA;010101;REPUBLICA FEDERAL DE ALEMANIA;01H00044;Educación Regular;Fiscal;UrbanaINEC;Presencial;18;473
BELLAVISTA;010101;JOSE MARIA VELAZ S.J. CENTRO 48 D;01H00045;Educación Regular;Particular;UrbanaINEC;Semipresencial;10;197
BELLAVISTA;010101;FRANCISCA DAVILA DE MUÑOZ;01H00046;Educación Regular;Fiscal;UrbanaINEC;Presencial;18;466
BELLAVISTA;010101;MANUEL MARIA MUÑOZ CUEVA;01H00047;Educación Regular;Fiscal;UrbanaINEC;Presencial;19;406
BELLAVISTA;010101;PADRE CARLOS CRESPI;01H00048;Educación Regular;Fiscomisional;UrbanaINEC;Presencial;37;894
BELLAVISTA;010101;ALBERTO ANDRADE ARIZAGA;01H00049;Educación Regular;Fiscal;UrbanaINEC;Presencial;20;462
BELLAVISTA;010101;INTEGRAL;01H00051;Educación Regular;Particular;UrbanaINEC;Presencial;4;15
BELLAVISTA;010101;MAMY`S DAY CARE;01H00052;Educación Regular;Particular;UrbanaINEC;Presencial;7;21
BELLAVISTA;010101;ENSUEÑOS;01H00054;Educación Regular;Particular;UrbanaINEC;Presencial;9;101
BELLAVISTA;010101;RAFAEL CAMPOVERDE GALAN;01H00056;Educación Regular;Particular;UrbanaINEC;Presencial;7;98
BELLAVISTA;010101;MIS PRIMEROS PASITOS;01H00057;Educación Regular;Particular;UrbanaINEC;Presencial;1;9
BELLAVISTA;010101;SAN JOSE;01H00058;Educación Regular;Particular;UrbanaINEC;Presencial;3;6
BELLAVISTA;010101;SAN MATEO;01H00059;Educación Regular;Particular;UrbanaINEC;Presencial;4;17
BELLAVISTA;010101;CENTRO EDUCATIVO SOL DE TALENTOS;01H00060;Educación Regular;Municipal;UrbanaINEC;Presencial;14;90
BELLAVISTA;010101;3 DE NOVIEMBRE;01H00061;Educación Regular;Fiscal;UrbanaINEC;Presencial;38;1010
BELLAVISTA;010101;STEPHEN HAWKING;01H00062;Educación Especial;Fiscal;UrbanaINEC;Presencial;15;50
CAÑARIBAMBA;010102;INSTITUTO PILOTO DE INTEGRACION DEL AZUAY;01H00063;Educación Especial;Fiscal;UrbanaINEC;Presencial;11;58
CAÑARIBAMBA;010102;LETRAS Y VIDA;01H00064;Educación Regular;Particular;UrbanaINEC;Presencial;11;79
CAÑARIBAMBA;010102;MIS ENANITOS;01H00066;Educación Regular;Particular;UrbanaINEC;Presencial;6;14
CAÑARIBAMBA;010102;BENIGNO ASTUDILLO;01H00067;Educación Regular;Fiscal;UrbanaINEC;Presencial;16;433
CAÑARIBAMBA;010102;CENTRO EDUCATIVO GALAN MONTESSORI;01H00068;Educación Regular;Particular;UrbanaINEC;Presencial;2;23
CAÑARIBAMBA;010102;RAYITO DE LUZ;01H00070;Educación Regular;Particular;UrbanaINEC;Presencial;5;47
CAÑARIBAMBA;010102;ADINEA;01H00072;Educación Especial;Particular;UrbanaINEC;Presencial;26;128
CAÑARIBAMBA;010102;AURELIO AGUILAR VÁZQUEZ;01H00074;Educación Regular;Fiscal;UrbanaINEC;Presencial;30;798
CAÑARIBAMBA;010102;JOSE MARIA VELAZ EXT. 03 CUENCA;01H00075;Educación Regular;Fiscomisional;UrbanaINEC;Semipresencial;12;260
CAÑARIBAMBA;010102;CESAR DAVILA ANDRADE;01H00076;Educación Regular;Fiscal;UrbanaINEC;Presencial;61;1060
CAÑARIBAMBA;010102;RITA CHAVEZ DE MUÑOZ;01H00077;Educación Regular;Fiscal;UrbanaINEC;Presencial;6;144
CAÑARIBAMBA;010102;ZOILA AURORA PALACIOS;01H00078;Educación Regular;Fiscal;UrbanaINEC;Presencial;10;175
CAÑARIBAMBA;010102;JULIO ABAD CHICA;01H00079;Educación Regular;Fiscal;UrbanaINEC;Presencial;16;322
EL BATAN;010103;LDU;01H00081;Educación Regular;Particular;UrbanaINEC;Presencial;16;222
EL BATAN;010103;DOCE DE ABRIL;01H00082;Educación Regular;Fiscal;UrbanaINEC;Presencial;22;474
EL BATAN;010103;HERMANO MIGUEL;01H00086;Educación Regular;Fiscal;UrbanaINEC;Presencial;13;277
EL BATAN;010103;HERNAN MALO;01H00087;Educación Regular;Fiscal;UrbanaINEC;Presencial;11;219
EL BATAN;010103;VICTOR MANUEL ALBORNOZ;01H00088;Educación Regular;Fiscal;UrbanaINEC;Presencial;19;499
EL BATAN;010103;CENTRO INFANTIL JOSE FIDEL HIDALGO;01H00089;Educación Regular;Particular;UrbanaINEC;Presencial;3;53
EL BATAN;010103;CENTRO EDUCATIVO RINCON DEL SABER AUSTRAL;01H00090;Educación Regular;Particular;UrbanaINEC;Presencial;23;325
EL BATAN;010103;JOSE F  HIDALGO;01H00091;Educación Regular;Particular;UrbanaINEC;Presencial;20;264
EL BATAN;010103;AUSTRAL;01H00092;Educación Regular;Particular;UrbanaINEC;Presencial;9;36
EL BATAN;010103;MIS ANGELES;01H00095;Educación Regular;Particular;UrbanaINEC;Presencial;2;37
EL BATAN;010103;CENTRO DE FORMACION ARTESANAL PARTICULAR LAS AMERICAS;01H00096;Popular Permanente;Particular;UrbanaINEC;Presencial;7;97
EL BATAN;010103;SANTA MARÍA DE LOS ÁNGELES;01H00097;Educación Regular;Particular;UrbanaINEC;Presencial;3;16
EL SAGRARIO;010104;RENACER;01H00098;Educación Regular;Particular;UrbanaINEC;Presencial;9;82
EL SAGRARIO;010104;GABRIEL CEVALLOS GARCIA;01H00100;Educación Regular;Fiscal;UrbanaINEC;Presencial;13;373
EL SAGRARIO;010104;SANTO TOMAS;01H00101;Educación Regular;Particular;UrbanaINEC;Presencial;12;50
EL SAGRARIO;010104;EZEQUIEL CRESPO AMBROSI;01H00102;Educación Regular;Fiscal;UrbanaINEC;Presencial;26;648
EL SAGRARIO;010104;13  DE ABRIL;01H00105;Educación Regular;Fiscal;UrbanaINEC;Presencial;7;63
EL SAGRARIO;010104;FRANCISCO FEBRES CORDERO;01H00106;Educación Regular;Fiscal;UrbanaINEC;Presencial;75;1727
EL SAGRARIO;010104;CENTRO DE FORMACION SAN VICENTE DE PAUL;01H00109;Popular Permanente;Particular;UrbanaINEC;Presencial;5;83
EL SAGRARIO;010104;DOLORES J. TORRES;01H00111;Educación Regular;Fiscal;UrbanaINEC;Presencial;25;713
EL SAGRARIO;010104;CARLOS CUEVA TAMARIZ;01H00112;Educación Regular;Fiscal;UrbanaINEC;Presencial;69;1166
EL SAGRARIO;010104;UNIDAD EDUCATIVA SALESIANA MARIA AUXILIADORA;01H00113;Educación Regular;Particular;UrbanaINEC;Presencial;52;886
EL SAGRARIO;010104;OTTO AROSEMENA GÓMEZ;01H00116;Educación Regular;Fiscal;UrbanaINEC;Presencial;14;308
EL SAGRARIO;010104;CORAZON DE MARIA;01H00117;Educación Regular;Particular;UrbanaINEC;Presencial;67;1081
EL SAGRARIO;010104;ESCUELA PAULO VI;01H00118;Educación Regular;Particular;UrbanaINEC;Presencial;10;78
EL SAGRARIO;010104;SAGRADO CORAZONE;01H00119;Educación Regular;Particular;UrbanaINEC;Presencial;26;351
EL SAGRARIO;010104;JULIO MATOVELLE;01H00120;Educación Regular;Particular;UrbanaINEC;Presencial;31;496
EL SAGRARIO;010104;MIGUEL ANGEL ESTRELLA AREVALO;01H00121;Educación Regular;Fiscal;UrbanaINEC;Presencial;25;719
EL SAGRARIO;010104;CIUDAD DE CUENCA;01H00122;Educación Regular;Fiscal;UrbanaINEC;Presencial;21;390
EL SAGRARIO;010104;COLEGIO PIO XII;01H00124;Educación Regular;Particular;UrbanaINEC;Presencial;16;150
EL SAGRARIO;010104;CIUDAD DE CUENCA JARDIN;01H00127;Educación Regular;Fiscal;UrbanaINEC;Presencial;2;58
EL VECINO;010105;NUESTRO MUNDO;01H00132;Educación Regular;Particular;UrbanaINEC;Presencial;2;18
EL VECINO;010105;SHALOM;01H00133;Educación Regular;Particular;UrbanaINEC;Presencial;2;17
EL VECINO;010105;CENTRO DE DESAROLLO INFANTIL MIXTO LA DIVINA PROVIDENCIA;01H00134;Educación Regular;Particular;UrbanaINEC;Presencial;3;15
EL VECINO;010105;CARLOS CRESPI II;01H00136;Educación Regular;Particular;UrbanaINEC;Presencial;7;194
EL VECINO;010105;CRECIENDO LIBRES;01H00138;Educación Regular;Particular;UrbanaINEC;Presencial;6;69
EL VECINO;010105;LUIS MONSALVE POZO;01H00140;Educación Regular;Fiscal;UrbanaINEC;Presencial;23;290
EL VECINO;010105;SAN PEDRO NOLASCO;01H00141;Educación Regular;Particular;UrbanaINEC;Presencial;6;52
EL VECINO;010105;ASOCIACION DE MUJERES ECUATORIANAS;01H00143;Popular Permanente;Fiscomisional;UrbanaINEC;Presencial;7;72
EL VECINO;010105;ESPAÑA;01H00144;Educación Regular;Fiscal;UrbanaINEC;Presencial;6;91
EL VECINO;010105;REPUBLICA DE ISRAEL;01H00145;Educación Regular;Fiscal;UrbanaINEC;Presencial;55;914
EL VECINO;010105;CARLOS CRESPI;01H00146;Educación Regular;Particular;UrbanaINEC;Presencial;21;116
EL VECINO;010105;MARY CORYLE;01H00148;Educación Regular;Fiscal;UrbanaINEC;Presencial;11;318
EL VECINO;010105;CENTRO DE DESARROLLO INFANTIL ABEJITAS LABORIOSAS;01H00149;Educación Regular;Particular;UrbanaINEC;Presencial;3;17
EL VECINO;010105;LUIS ROBERTO BRAVO;01H00150;Educación Regular;Fiscal;UrbanaINEC;Presencial;14;423
EL VECINO;010105;JUAN MONTALVO;01H00151;Educación Regular;Fiscal;UrbanaINEC;Presencial;27;821
EL VECINO;010105;MANUEL J CALLE;01H00152;Educación Regular;Fiscal;UrbanaINEC;Presencial;98;1856
EL VECINO;010105;REPUBLICA DE CHILE;01H00153;Educación Regular;Fiscal;UrbanaINEC;Presencial;12;262
EL VECINO;010105;CENTRO EDUCATIVO VOLTAIRE;01H00154;Educación Regular;Particular;UrbanaINEC;Presencial;14;268
EL VECINO;010105;CARLOS ARIZAGA VEGA;01H00155;Educación Regular;Fiscal;UrbanaINEC;Presencial;25;394
EL VECINO;010105;ESPAÑA;01H00156;Educación Regular;Fiscal;UrbanaINEC;Presencial;28;655
BELLAVISTA;010101;CONSERVATORIO DE MUSICA JOSE MARIA RODRIGUEZ;01H00157;Educación Regular;Fiscal;UrbanaINEC;Presencial;61;1137
EL VECINO;010105;SECAP;01H00161;Popular Permanente;Fiscal;UrbanaINEC;Presencial;10;339
GIL RAMIREZ DAVALOS;010106;CENTRO EDUCATIVO LICEO DEL AZUAY;01H00163;Educación Regular;Particular;UrbanaINEC;Presencial;5;0
GIL RAMIREZ DAVALOS;010106;SAN LUIS BELTRAN;01H00164;Educación Regular;Particular;UrbanaINEC;Presencial;38;491
GIL RAMIREZ DAVALOS;010106;COLEGIO NACIONAL TECNICO NOCTURNO SAN FRANCISCO;01H00165;Educación Regular;Fiscal;UrbanaINEC;Presencial;32;443
GIL RAMIREZ DAVALOS;010106;C.I.O;01H00167;No Escolarizada;Particular;UrbanaINEC;Presencial;1;0
BELLAVISTA;010101;JESUS CORDERO DAVILA;01H00169;Educación Regular;Particular;UrbanaINEC;Presencial;12;243
GIL RAMIREZ DAVALOS;010106;VICTOR CESAR LLORE MOSQUERA;01H00170;Educación Regular;Fiscal;UrbanaINEC;Presencial;10;246
GIL RAMIREZ DAVALOS;010106;SANTA MARIANA DE JESUS;01H00172;Educación Regular;Particular;UrbanaINEC;Presencial;64;1273
BELLAVISTA;010101;VICENTE ESCANDON;01H00173;Educación Regular;Particular;UrbanaINEC;Presencial;11;170
GIL RAMIREZ DAVALOS;010106;DANIEL HERMIDA;01H00174;Educación Regular;Fiscomisional;UrbanaINEC;Presencial;10;198
TOTORACOCHA;010113;CENSTUDIOS;01H00183;Educación Regular;Particular;UrbanaINEC;Presencial;13;78
GIL RAMIREZ DAVALOS;010106;SANTA MARIANA  DE JESUS;01H00184;Popular Permanente;Particular;UrbanaINEC;Presencial;11;63
GIL RAMIREZ DAVALOS;010106;ALFONSO CORDERO PALACIOS;01H00186;Educación Regular;Fiscal;UrbanaINEC;Presencial;30;829
GIL RAMIREZ DAVALOS;010106;OCTAVIO CORDERO PALACIOS;01H00187;Educación Regular;Fiscal;UrbanaINEC;Presencial;98;1453
BELLAVISTA;010101;ARZOBISPO SERRANO;01H00188;Educación Regular;Particular;UrbanaINEC;Presencial;23;538
HUAYNACAPAC;010107;HUAYNA   CÁPAC;01H00189;Educación Regular;Fiscal;UrbanaINEC;Presencial;12;255
HUAYNACAPAC;010107;GABRIELA  MISTRAL;01H00190;Educación Regular;Fiscal;UrbanaINEC;Presencial;9;220
HUAYNACAPAC;010107;AGORA;01H00193;Educación Regular;Particular;UrbanaINEC;Presencial;7;39
HUAYNACAPAC;010107;IBEROAMERICA;01H00194;Educación Regular;Particular;UrbanaINEC;Presencial;8;54
HUAYNACAPAC;010107;DANIEL CORDOVA  TORAL;01H00196;Educación Regular;Fiscal;UrbanaINEC;Presencial;82;954
HUAYNACAPAC;010107;SAN JOSÉ  DE LA SALLE;01H00199;Educación Regular;Particular;UrbanaINEC;Presencial;44;1009
HUAYNACAPAC;010107;HERMANO MIGUEL DE LA SALLE;01H00201;Educación Regular;Particular;UrbanaINEC;Presencial;58;1275
HUAYNACAPAC;010107;INEBHYE;01H00202;Educación Regular;Particular;UrbanaINEC;Presencial;11;96
HUAYNACAPAC;010107;REPUBLICA DE COLOMBIA;01H00203;Educación Regular;Fiscal;UrbanaINEC;Presencial;17;363
HUAYNACAPAC;010107;JOSE MARIA VELAZ EXT 68 B;01H00204;Educación Regular;Fiscomisional;UrbanaINEC;Semipresencial;14;364
HUAYNACAPAC;010107;CARLOS ZAMBRANO OREJUELA;01H00205;Educación Regular;Fiscal;UrbanaINEC;Presencial;10;199
HUAYNACAPAC;010107;CRECER;01H00206;Educación Regular;Particular;UrbanaINEC;Presencial;8;64
HUAYNACAPAC;010107;CENTRO EDUCATIVO FE Y ALEGRIA;01H00209;Educación Regular;Fiscomisional;UrbanaINEC;Presencial;52;907
HUAYNACAPAC;010107;FE Y ALEGRIA;01H00212;Educación Regular;Fiscomisional;UrbanaINEC;Presencial;28;684
HUAYNACAPAC;010107;LA ASUNCION;01H00213;Educación Regular;Particular;UrbanaINEC;Presencial;134;2680
HUAYNACAPAC;010107;BERTRAND RUSSELL;01H00216;Educación Regular;Particular;UrbanaINEC;Presencial;9;112
HUAYNACAPAC;010107;PLANETA INDIGO;01H00219;Educación Regular;Particular;UrbanaINEC;Presencial;3;3
HUAYNACAPAC;010107;LA COMETA;01H00220;Educación Regular;Particular;UrbanaINEC;Presencial;6;36
HUAYNACAPAC;010107;SAN JOSE DE CALASANZ;01H00221;Popular Permanente;Fiscomisional;UrbanaINEC;Presencial;6;40
HUAYNACAPAC;010107;CEDEI MUNICIPAL 27 DE FEBRERO;01H00222;Educación Regular;Municipal;UrbanaINEC;Presencial;5;28
HUAYNACAPAC;010107;SAN JOSE DE CALASANZ;01H00223;Educación Especial;Fiscomisional;UrbanaINEC;Presencial;3;35
HUAYNACAPAC;010107;TRAVESURAS;01H00224;Educación Regular;Particular;UrbanaINEC;Presencial;7;29
HUAYNACAPAC;010107;INSTITUTO ESPECIAL DE INVIDENTES Y SORDOS DEL AZUAY;01H00226;Educación Especial;Fiscal;UrbanaINEC;Presencial;13;69
HUAYNACAPAC;010107;AGUSTIN CUEVA TAMARIZ;01H00227;Educación Especial;Fiscal;UrbanaINEC;Presencial;21;122
HUAYNACAPAC;010107;SOL NACIENTE;01H00229;Educación Regular;Particular;UrbanaINEC;Presencial;4;25
HUAYNACAPAC;010107;AUSUBEL SCHOOL;01H00231;Educación Regular;Particular;UrbanaINEC;Presencial;27;375
MACHANGARA;010108;CENTRO DE ARTES ESPECIALES MUNDO NUEVO;01H00232;Educación Especial;Fiscomisional;UrbanaINEC;Presencial;6;26
MACHANGARA;010108;MARIO RIZZINI;01H00233;Educación Regular;Fiscal;UrbanaINEC;Presencial;18;443
MACHANGARA;010108;CAZADORES DE LOS RIOS;01H00237;Educación Regular;Fiscal;UrbanaINEC;Presencial;13;331
MACHANGARA;010108;JUAN BAUTISTA STIEHLE;01H00238;Educación Regular;Fiscomisional;UrbanaINEC;Presencial;24;348
MACHANGARA;010108;JUAN VICENTE MORALES;01H00239;Educación Regular;Particular;UrbanaINEC;Presencial;6;18
MACHANGARA;010108;LA ABEJITA;01H00240;Educación Regular;Fiscal;UrbanaINEC;Presencial;3;76
MACHANGARA;010108;UNIDAD EDUCATIVA POLITECNICA KENNEDY;01H00241;Educación Regular;Particular;UrbanaINEC;Presencial;34;563
MONAY;010109;CESAR ANDRADE Y CORDERO;01H00246;Educación Regular;Fiscal;UrbanaINEC;Presencial;26;457
MONAY;010109;IVAN SALGADO ESPINOSA;01H00247;Educación Regular;Fiscal;UrbanaINEC;Presencial;16;463
MONAY;010109;MANUELA  GARAICOA DE CALDERON;01H00249;Educación Regular;Fiscal;UrbanaINEC;Presencial;159;2724
MONAY;010109;LATINOAMERICANO;01H00250;Educación Regular;Particular;UrbanaINEC;Presencial;22;272
MONAY;010109;COREL;01H00251;Educación Regular;Particular;UrbanaINEC;Presencial;2;43
MONAY;010109;CATALINA GUERRERO;01H00253;Educación Regular;Fiscal;UrbanaINEC;Presencial;12;230
MONAY;010109;AMAZONAS;01H00254;Educación Regular;Fiscal;UrbanaINEC;Presencial;2;14
MONAY;010109;IVAN SALGADO;01H00255;Educación Regular;Fiscal;UrbanaINEC;Presencial;3;78
MONAY;010109;IGNACIO ANDRADE ARIZAGA;01H00256;Educación Regular;Fiscal;UrbanaINEC;Presencial;10;214
MONAY;010109;COREL;01H00258;Educación Regular;Particular;UrbanaINEC;Presencial;30;357
MONAY;010109;ANDRES F. CORDOVA;01H00259;Educación Regular;Fiscal;UrbanaINEC;Presencial;10;160
MONAY;010109;CENTRO EDUCATIVO LATINOAMERICANO;01H00265;Educación Regular;Particular;UrbanaINEC;Presencial;35;356
MONAY;010109;SAN FRANCISCO DE ASIS;01H00268;Educación Regular;Particular;UrbanaINEC;Presencial;12;77
SAN BLAS;010110;COLORINES;01H00270;Educación Regular;Particular;UrbanaINEC;Presencial;1;2
SAN BLAS;010110;SUDAMERICANO;01H00271;Educación Regular;Particular;UrbanaINEC;Presencial;51;900
SAN BLAS;010110;LUIS CORDERO CRESPO;01H00272;Educación Regular;Fiscal;UrbanaINEC;Presencial;30;1071
SAN BLAS;010110;FRANCISCA ARIZAGA TORAL;01H00274;Popular Permanente;Particular;UrbanaINEC;Presencial;4;14
SAN BLAS;010110;LOS PINOS;01H00275;Educación Regular;Particular;UrbanaINEC;Presencial;1;27
SAN BLAS;010110;MI CASITA;01H00276;Educación Regular;Particular;UrbanaINEC;Presencial;3;15
SAN BLAS;010110;TERESA VALSE;01H00277;Educación Regular;Particular;UrbanaINEC;Presencial;24;696
SAN BLAS;010110;MANUELA CAÑIZARES;01H00281;Educación Regular;Fiscal;UrbanaINEC;Presencial;18;507
